,occasion_1,occasion_2,occasion_3,occasion_4,occasion_5
week_1,7/8/19,7/9/19,7/10/19,7/11/19,7/12/19
week_2,7/15/19,7/16/19,7/17/19,7/18/19,7/19/19
week_3,7/22/19,7/23/19,7/24/19,7/25/19,7/26/19
week_4,7/29/19,7/30/19,7/31/19,8/1/19,8/2/19
week_5,8/5/19,8/6/19,8/7/19,8/8/19,8/9/19
week_6,8/12/19,8/13/19,8/14/19,8/15/19,8/16/19
week_7,8/19/19,8/20/19,8/21/19,8/22/19,8/23/19
week_8,8/26/19,8/27/19,8/28/19,8/29/19,8/30/19
