,occasion_1,occasion_2,occasion_3,occasion_4,occasion_5
week_1,10/7/19,10/8/19,10/9/19,10/10/19,10/11/19
week_2,10/14/19,10/15/19,10/16/19,10/17/19,10/18/19
week_3,10/21/19,10/22/19,10/23/19,10/24/19,10/25/19
week_4,10/28/19,10/29/19,10/30/19,10/31/19,11/1/19
week_5,11/4/19,11/5/19,11/6/19,11/7/19,11/8/19
week_6,11/11/19,11/12/19,11/13/19,11/14/19,11/15/19
week_7,11/18/19,11/19/19,11/20/19,11/21/19,11/22/19
week_8,11/25/19,11/26/19,11/27/19,11/28/19,11/29/19
