,occasion_1,occasion_2,occasion_3,occasion_4,occasion_5
week_1,4/8/19,4/9/19,4/10/19,4/11/19,4/12/19
week_2,4/15/19,4/16/19,4/17/19,4/18/19,4/19/19
week_3,4/22/19,4/23/19,4/24/19,4/25/19,4/26/19
week_4,4/29/19,4/30/19,5/1/19,5/2/19,5/3/19
week_5,5/6/19,5/7/19,5/8/19,5/9/19,5/10/19
week_6,5/13/19,5/14/19,5/15/19,5/16/19,5/17/19
week_7,5/20/19,5/21/19,5/22/19,5/23/19,5/24/19
week_8,5/27/19,5/28/19,5/29/19,5/30/19,5/31/19
