Filename,HiF,LoF,Call Quality,Timestamp,MonitoringNight,Species Manual ID,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),Version,AccpQuality,Max#CallsConsidered
5-05_SM42-20190708_195453.wav,,1,0,2019-07-08T19:54:53-07:00,7/8/19,TWBA,Tabr,12,13,,Tabr,Epfu,,,28.17,1.16,11.78,2.09,5.82,38.74,27.21,2.38,0.55,1.06,171.87,5_05,S3_Summer,15,4.2,0.8,16
5-05_SM42-20190708_200133.wav,,1,0,2019-07-08T20:01:33-07:00,7/8/19,NOID,Tabr,3,5,,Tabr,Laxa,,,30.28,1.52,10.7,2.54,6.24,39.42,27.56,1.9,0.39,0.83,160.19,5_05,S3_Summer,15,4.2,0.8,16
5-05_SM42-20190708_200151.wav,,1,0,2019-07-08T20:01:51-07:00,7/8/19,TWBA,Tabr,7,10,,Tabr,Laxa,,,30.36,2.18,11.14,1.27,5.64,34.84,28.9,1.21,0.28,0.47,177.35,5_05,S3_Summer,15,4.2,0.8,16
5-05_SM42-20190708_200208.wav,,,0,2019-07-08T20:02:08-07:00,7/8/19,NOID,,,,,,,,,,,,,Inf,,,,,,,5_05,S3_Summer,0,0,0.8,0
5-05_SM42-20190708_200217.wav,,1,0,2019-07-08T20:02:17-07:00,7/8/19,TWBA,Tabr,5,5,,Tabr,,,,30.49,0.84,13.33,1.52,4.34,37.18,28.92,1.49,0.44,0.66,230.36,5_05,S3_Summer,14.28,4.2,0.8,16
5-05_SM42-20190708_200238.wav,,1,0,2019-07-08T20:02:38-07:00,7/8/19,TWBA,Tabr,10,10,,Tabr,,,,28.93,0.64,10.97,1.51,4.84,38.86,27.83,2.35,0.58,1.06,206.55,5_05,S3_Summer,15,4.2,0.8,16
5-05_SM42-20190708_200259.wav,,1,0,2019-07-08T20:02:59-07:00,7/8/19,TWBA,Tabr,6,6,,Tabr,,,,28.68,1.09,11.63,1.49,3.97,40.82,27.51,2.73,0.72,1.29,251.84,5_05,S3_Summer,6.55,4.2,0.8,16
5-05_SM42-20190708_200311.wav,1,1,0,2019-07-08T20:03:11-07:00,7/8/19,NOID,Tabr,4,5,,Tabr,Myth,,,28.17,2.44,8.98,2.79,7.38,42.73,26.05,4.46,1.58,2.78,135.56,5_05,S3_Summer,15,4.2,0.8,16
5-05_SM42-20190708_200328.wav,,1,0,2019-07-08T20:03:28-07:00,7/8/19,NOID,Epfu,4,5,,Epfu,Laxa,,,29.7,1.92,11,0.99,5.96,49.32,28.03,4.29,1.04,1.99,167.67,5_05,S3_Summer,15,4.2,0.8,16
5-05_SM42-20190708_200350.wav,,1,0,2019-07-08T20:03:50-07:00,7/8/19,TWBA,Laxa,5,7,,Laxa,Tabr,,,32.73,2.07,7.55,2.1,5.26,43.6,32.27,3.47,0.97,1.6,190.13,5_05,S3_Summer,7.27,4.2,0.8,16
