Filename,HiF,LoF,Call Quality,Timestamp,MonitoringNight,Species Manual ID,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),Version,AccpQuality,Max#CallsConsidered
5-02_SM42-20190819_195658.wav,,1,0,2019-08-19T19:56:58-07:00,8/19/19,TWBA,Tabr,6,6,,Tabr,,,,25.06,0.2,13.7,0.71,3.29,25.58,24.1,0.09,0.05,0.06,304.3,5_02,S3_Summer,2.01,4.2,0.8,16
5-02_SM42-20190819_195713.wav,,,0,2019-08-19T19:57:13-07:00,8/19/19,NOID,,1,1,Tabr,Tabr,,,,24.54,,12.81,,,25.3,23.04,0.07,0.1,0.1,,5_02,S3_Summer,2.01,4.2,0.8,16
5-02_SM42-20190819_200224.wav,,1,0,2019-08-19T20:02:24-07:00,8/19/19,TWBA,Tabr,11,11,,Tabr,,,,22.77,0.37,15.42,1.19,3.37,23.32,22.55,0.12,0.02,0.05,296.85,5_02,S3_Summer,4.46,4.2,0.8,16
5-02_SM42-20190819_200308.wav,,1,1,2019-08-19T20:03:08-07:00,8/19/19,TABR,Tabr,10,10,,Tabr,,,,21.19,0.34,13.59,1.32,2.22,21.69,20.92,0.11,0.03,0.06,449.48,5_02,S3_Summer,7.41,4.2,0.8,16
5-02_SM42-20190819_201449.wav,,1,0,2019-08-19T20:14:49-07:00,8/19/19,TWBA,Tabr,13,13,,Tabr,,,,21.3,0.58,14.8,1.5,2.41,21.96,20.91,0.08,0.19,0.06,415.49,5_02,S3_Summer,15,4.2,0.8,16
5-02_SM42-20190819_201953.wav,,1,0,2019-08-19T20:19:53-07:00,8/19/19,TWBA,Tabr,5,5,,Tabr,,,,23.57,0.29,13.59,0.99,2.94,24.79,22.81,0.17,0.18,0.14,339.59,5_02,S3_Summer,3.88,4.2,0.8,16
5-02_SM42-20190819_202841.wav,,1,0,2019-08-19T20:28:41-07:00,8/19/19,NOID,Tabr,3,3,,Tabr,,,,22.19,0.15,16.45,1.3,1.77,23.29,22.05,0.01,0.16,0.01,563.38,5_02,S3_Summer,3.14,4.2,0.8,16
5-02_SM42-20190819_204634.wav,,1,0,2019-08-19T20:46:34-07:00,8/19/19,TWBA,Tabr,15,15,,Tabr,,,,22.08,0.57,13.68,1.39,2.45,22.81,21.71,0.13,0.03,0.07,407.47,5_02,S3_Summer,15,4.2,0.8,16
5-02_SM42-20190819_204858.wav,,1,0,2019-08-19T20:48:58-07:00,8/19/19,NOID,,1,1,Tabr,Tabr,,,,21.61,0.16,13.92,0.91,2.45,22.67,19.89,0.21,0.1,0.15,407.43,5_02,S3_Summer,3.54,4.2,0.8,16
5-02_SM42-20190819_205038.wav,,1,1,2019-08-19T20:50:38-07:00,8/19/19,TABR,Tabr,14,14,,Tabr,,,,22.78,0.56,14.47,1.28,1.71,23.73,21.89,0.14,0.06,0.11,586.44,5_02,S3_Summer,10.36,4.2,0.8,16
5-02_SM42-20190819_205241.wav,,1,0,2019-08-19T20:52:41-07:00,8/19/19,TWBA,Tabr,7,7,,Tabr,,,,21.87,0.3,14.71,1.48,2.27,22.69,20.58,0.09,0.09,0.09,441.3,5_02,S3_Summer,3.75,4.2,0.8,16
5-02_SM42-20190819_205332.wav,,1,0,2019-08-19T20:53:32-07:00,8/19/19,TWBA,Tabr,16,16,,Tabr,,,,23.05,1.06,11.09,1.13,2.59,25.61,21.47,0.49,0.27,0.38,386.02,5_02,S3_Summer,11.87,4.2,0.8,16
5-02_SM42-20190819_205655.wav,,1,0,2019-08-19T20:56:55-07:00,8/19/19,TWBA,Tabr,5,5,,Tabr,,,,21.23,0.29,13.55,1.85,2.38,22.05,20.98,0.19,0.04,0.05,420.41,5_02,S3_Summer,4.1,4.2,0.8,16
5-02_SM42-20190819_210118.wav,,1,0,2019-08-19T21:01:18-07:00,8/19/19,TWBA,Tabr,8,8,,Tabr,,,,21.28,0.43,13.89,2.35,2.17,22.02,21.07,0.06,0.14,0.03,460.86,5_02,S3_Summer,6.13,4.2,0.8,16
5-02_SM42-20190819_210452.wav,,1,0,2019-08-19T21:04:52-07:00,8/19/19,TWBA,Tabr,12,12,,Tabr,,,,22.8,0.62,13.55,0.94,2.39,24.57,21.07,0.39,0.2,0.2,418.38,5_02,S3_Summer,6.63,4.2,0.8,16
5-02_SM42-20190819_211851.wav,,1,0,2019-08-19T21:18:51-07:00,8/19/19,NOID,Laxa,4,7,,Laxa,Tabr,,,27.77,1.25,12.42,0.82,4.04,30.18,27.43,0.39,0.2,0.27,247.78,5_02,S3_Summer,3.53,4.2,0.8,16
5-02_SM42-20190819_212326.wav,,1,0,2019-08-19T21:23:26-07:00,8/19/19,TWBA,Tabr,5,5,,Tabr,,,,24.47,0.52,12.34,0.8,4.09,27.21,23.42,0.55,0.27,0.34,244.34,5_02,S3_Summer,4.03,4.2,0.8,16
5-02_SM42-20190819_212400.wav,,,0,2019-08-19T21:24:00-07:00,8/19/19,NOID,,,,,,,,,,,,,9.14,36.94,24.63,2.51,0.7,1.27,109.41,5_02,S3_Summer,2.97,4.2,0.8,16
5-02_SM42-20190819_212502.wav,,1,0,2019-08-19T21:25:02-07:00,8/19/19,TWBA,Tabr,16,16,,Tabr,,,,23.2,0.48,14.34,1.48,2.44,24.05,22.72,0.23,0.04,0.08,409.49,5_02,S3_Summer,7.91,4.2,0.8,16
5-02_SM42-20190819_214159.wav,,1,0,2019-08-19T21:41:59-07:00,8/19/19,NOID,Tabr,2,2,,Tabr,,,,23.1,0.27,13.19,0.66,2.43,23.53,22.71,0.1,0.02,0.06,412.2,5_02,S3_Summer,3.56,4.2,0.8,16
5-02_SM42-20190819_214838.wav,,1,0,2019-08-19T21:48:38-07:00,8/19/19,TWBA,Tabr,10,10,,Tabr,,,,21.8,0.29,14.14,0.68,2.05,23.07,20.7,0.22,0.06,0.14,487.04,5_02,S3_Summer,8.15,4.2,0.8,16
5-02_SM42-20190819_220448.wav,,1,0,2019-08-19T22:04:48-07:00,8/19/19,NOID,Tabr,2,2,,Tabr,,,,21.4,0,15.09,0.09,1.38,22.35,20.81,0.26,0.02,0.07,726.78,5_02,S3_Summer,2.01,4.2,0.8,16
5-02_SM42-20190819_221900.wav,,,0,2019-08-19T22:19:00-07:00,8/19/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,5_02,S3_Summer,0,0,0.8,0
5-02_SM42-20190819_221932.wav,,,0,2019-08-19T22:19:32-07:00,8/19/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,5_02,S3_Summer,0,0,0.8,0
5-02_SM42-20190819_222202.wav,,1,1,2019-08-19T22:22:02-07:00,8/19/19,TABR,Tabr,8,8,,Tabr,,,,24.33,0.27,13.65,1.26,2.24,25.75,22.69,0.24,0.14,0.19,445.94,5_02,S3_Summer,4.68,4.2,0.8,16
5-02_SM42-20190819_222401.wav,1,,0,2019-08-19T22:24:01-07:00,8/19/19,NOID,,1,1,Myca/,Myca,,,,52.33,0.93,2.63,0.37,15.98,82.99,47.79,17.56,5.45,11.16,62.58,5_02,S3_Summer,5.28,4.2,0.8,16
