Filename,HiF,LoF,Call Quality,Timestamp,MonitoringNight,Species Manual ID,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),Version,AccpQuality,Max#CallsConsidered
5-06_SM42-20190211_180611.wav,,,0,2019-02-11T18:06:11-07:00,2/11/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,5_06,S1_Winter,0,0,0.8,0
5-06_SM42-20190211_180910.wav,,,0,2019-02-11T18:09:10-07:00,2/11/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,5_06,S1_Winter,0,0,0.8,0
5-06_SM42-20190211_185603.wav,,1,0,2019-02-11T18:56:03-07:00,2/11/19,NOBA,,2,2,Laci,Laci,,,,19.96,0.34,6.42,0.27,86.49,20.22,19.64,0,0.15,0,11.56,5_06,S1_Winter,7.03,4.2,0.8,16
5-06_SM42-20190211_185613.wav,,,0,2019-02-11T18:56:13-07:00,2/11/19,NOBA,,1,1,Laci,Laci,,,,21.18,,6.26,,19.88,21.25,20.4,,,,50.3,5_06,S1_Winter,7.33,4.2,0.8,16
5-06_SM42-20190211_185758.wav,,,0,2019-02-11T18:57:58-07:00,2/11/19,NOID,,,,,,,,,,,,,1.48,22.89,21.37,0.29,0.03,0.15,675.54,5_06,S1_Winter,3.46,4.2,0.8,16
5-06_SM42-20190211_190437.wav,,,0,2019-02-11T19:04:37-07:00,2/11/19,NOID,,1,1,Tabr,Tabr,,,,21.56,,10.58,,1.61,22.22,21.24,0.38,0.07,0.09,620.18,5_06,S1_Winter,2.01,4.2,0.8,16
5-06_SM42-20190211_190539.wav,,1,0,2019-02-11T19:05:39-07:00,2/11/19,NOID,Tabr,3,3,,Tabr,,,,22.07,0.04,13.19,1.54,1.71,22.59,21.71,0.1,0.03,0.07,583.62,5_06,S1_Winter,5.14,4.2,0.8,16
5-06_SM42-20190211_190547.wav,,,0,2019-02-11T19:05:47-07:00,2/11/19,NOID,,,,,,,,,,,,,Inf,,,,,,,5_06,S1_Winter,0,0,0.8,0
5-06_SM42-20190211_191526.wav,,,0,2019-02-11T19:15:26-07:00,2/11/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,5_06,S1_Winter,0,0,0.8,0
5-06_SM42-20190211_192750.wav,,1,0,2019-02-11T19:27:50-07:00,2/11/19,NOBA,,1,1,Laci,Laci,,,,20.34,0.38,6.76,4.44,32.64,20.85,20.3,,,,30.64,5_06,S1_Winter,4.83,4.2,0.8,16
