Filename,HiF,LoF,Call Quality,Timestamp,MonitoringNight,Species Manual ID,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),Version,AccpQuality,Max#CallsConsidered
3_07_SM42-20190121_172211.wav,,,0,2019-01-21T17:22:11-07:00,1/21/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,3_07,S1_Winter,0,0,0.8,0
3_07_SM42-20190121_173646.wav,,,0,2019-01-21T17:36:46-07:00,1/21/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,3_07,S1_Winter,0,0,0.8,0
3_07_SM42-20190121_173715.wav,,,0,2019-01-21T17:37:15-07:00,1/21/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,3_07,S1_Winter,0,0,0.8,0
3_07_SM42-20190121_181721.wav,,,0,2019-01-21T18:17:21-07:00,1/21/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,3_07,S1_Winter,0,0,0.8,0
3_07_SM42-20190121_182919.wav,,,0,2019-01-21T18:29:19-07:00,1/21/19,NOID,,1,1,Tabr,Tabr,,,,21.27,,14.19,,,22.17,20.32,0.08,0.11,0.1,,3_07,S1_Winter,2.01,4.2,0.8,16
3_07_SM42-20190121_183645.wav,,1,2,2019-01-21T18:36:45-07:00,1/21/19,TABR,Tabr,12,12,,Tabr,,,,22.5,0.43,14.01,1.35,0.97,23.9,21.59,0.21,0.13,0.17,1029.94,3_07,S1_Winter,15,4.2,0.8,16
3_07_SM42-20190121_183714.wav,,,0,2019-01-21T18:37:14-07:00,1/21/19,NOID,,,,,,,,,,,,,Inf,,,,,,,3_07,S1_Winter,0,0,0.8,0
3_07_SM42-20190121_184241.wav,,1,0,2019-01-21T18:42:41-07:00,1/21/19,NOID,,1,1,Tabr,Tabr,,,,22.73,5.39,3.85,2.22,7.43,50.96,22.46,6.16,1.64,3.32,134.56,3_07,S1_Winter,15,4.2,0.8,16
3_07_SM42-20190121_184258.wav,,1,1,2019-01-21T18:42:58-07:00,1/21/19,TABR,Tabr,12,12,,Tabr,,,,24.35,0.79,10.96,0.54,2.24,29.5,21.92,1.12,0.56,0.72,446.26,3_07,S1_Winter,15,4.2,0.8,16
3_07_SM42-20190121_184809.wav,,,0,2019-01-21T18:48:09-07:00,1/21/19,NOID,,,,,,,,,,,,,Inf,,,,,,,3_07,S1_Winter,0,0,0.8,0
3_07_SM42-20190121_185223.wav,,,0,2019-01-21T18:52:23-07:00,1/21/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,3_07,S1_Winter,0,0,0.8,0
3_07_SM42-20190121_191344.wav,,1,0,2019-01-21T19:13:44-07:00,1/21/19,NOID,Tabr,2,2,,Tabr,,,,21.32,0.51,13.56,3.68,2.21,23.57,20.62,0.44,0.15,0.2,452.96,3_07,S1_Winter,3.62,4.2,0.8,16
