Filename,HiF,LoF,Call Quality,Timestamp,MonitoringNight,Species Manual ID,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),Version,AccpQuality,Max#CallsConsidered
3-10_SM42-20190722_195543.wav,,1,0,2019-07-22T19:55:43-07:00,7/22/19,NOID,Tabr,4,4,,Tabr,,,,23.14,0.29,12.05,1.32,2.86,24.23,22.52,0.29,0.09,0.12,350.17,3_10,S3_Summer,2.52,4.2,0.8,16
3-10_SM42-20190722_195917.wav,,1,0,2019-07-22T19:59:17-07:00,7/22/19,NOID,Tabr,3,3,,Tabr,,,,24.41,0.46,13.17,1.34,2.16,25.25,23.76,0.1,0.19,0.1,463.22,3_10,S3_Summer,2.47,4.2,0.8,16
3-10_SM42-20190722_200019.wav,,1,0,2019-07-22T20:00:19-07:00,7/22/19,NOID,Tabr,4,4,,Tabr,,,,25.25,1.52,9.52,4.09,8.95,34.01,23.86,2.91,1.3,1.63,111.76,3_10,S3_Summer,3.67,4.2,0.8,16
3-10_SM42-20190722_200304.wav,,1,0,2019-07-22T20:03:04-07:00,7/22/19,TWBA,Tabr,11,11,,Tabr,,,,22.34,0.65,13.59,1.93,2.49,22.83,22.2,0.09,0.11,0.05,402.3,3_10,S3_Summer,7.31,4.2,0.8,16
3-10_SM42-20190722_200530.wav,,1,0,2019-07-22T20:05:30-07:00,7/22/19,NOID,Tabr,4,4,,Tabr,,,,23.99,1.07,13.48,0.96,2.29,25.15,21.01,0.33,0.09,0.18,437.54,3_10,S3_Summer,3.85,4.2,0.8,16
3-10_SM42-20190722_200548.wav,,1,0,2019-07-22T20:05:48-07:00,7/22/19,TWBA,Tabr,6,6,,Tabr,,,,23,0.6,12.85,1.32,3.93,24.75,21.17,0.39,0.09,0.2,254.64,3_10,S3_Summer,5.39,4.2,0.8,16
3-10_SM42-20190722_200603.wav,,1,0,2019-07-22T20:06:03-07:00,7/22/19,TWBA,Tabr,11,11,,Tabr,,,,26.6,0.56,13.27,1.87,5,28.7,25.1,0.51,0.16,0.23,199.81,3_10,S3_Summer,5.03,4.2,0.8,16
3-10_SM42-20190722_200722.wav,,1,0,2019-07-22T20:07:22-07:00,7/22/19,TWBA,Tabr,8,9,,Tabr,Nysp,,,21.38,1.08,15.36,2.64,6.08,27.89,19.83,1.06,0.42,0.6,164.34,3_10,S3_Summer,6.54,4.2,0.8,16
3-10_SM42-20190722_201514.wav,1,,0,2019-07-22T20:15:14-07:00,7/22/19,TWBA,Pahe,5,5,,Pahe,,,,46,0.47,5.87,0.4,6.86,50.3,45.51,1.76,0.58,0.94,145.83,3_10,S3_Summer,3.37,4.2,0.8,16
3-10_SM42-20190722_202058.wav,1,,0,2019-07-22T20:20:58-07:00,7/22/19,TWBA,Pahe,14,15,,Pahe,Chme,,,46.55,0.9,5.38,0.69,7.84,54.21,46.19,5.24,0.99,2.2,127.48,3_10,S3_Summer,6.49,4.2,0.8,16
3-10_SM42-20190722_203048.wav,,,0,2019-07-22T20:30:48-07:00,7/22/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,3_10,S3_Summer,0,0,0.8,0
3-10_SM42-20190722_203058.wav,,1,0,2019-07-22T20:30:58-07:00,7/22/19,NOBA,Laci,3,4,,Laci,Anpa,,,18.45,0.16,13.12,8.42,33.75,18.81,18.36,0.43,0.01,0.01,29.63,3_10,S3_Summer,2.41,4.2,0.8,16
3-10_SM42-20190722_203558.wav,1,,0,2019-07-22T20:35:58-07:00,7/22/19,TWBA,Pahe,8,8,,Pahe,,,,43.27,0.38,5.41,0.34,6.99,49.47,43.26,2.29,0.63,0.95,143.07,3_10,S3_Summer,3.76,4.2,0.8,16
3-10_SM42-20190722_203755.wav,1,,0,2019-07-22T20:37:55-07:00,7/22/19,TWBA,Pahe,16,16,,Pahe,,,,45.31,0.33,5.1,0.37,8.46,51.49,44.55,2.46,0.64,1.15,118.15,3_10,S3_Summer,5.24,4.2,0.8,16
3-10_SM42-20190722_203804.wav,1,,0,2019-07-22T20:38:04-07:00,7/22/19,NOID,Pahe,4,4,,Pahe,,,,44.85,0.1,4.89,0.25,10.5,51.44,44.61,2.58,0.72,1.18,95.28,3_10,S3_Summer,2.47,4.2,0.8,16
3-10_SM42-20190722_204358.wav,1,,0,2019-07-22T20:43:58-07:00,7/22/19,TWBA,Pahe,15,15,,Pahe,,,,45.84,0.57,4.57,0.37,17.49,58.13,44.83,8.21,1.15,2.46,57.17,3_10,S3_Summer,5.53,4.2,0.8,16
3-10_SM42-20190722_204511.wav,,1,0,2019-07-22T20:45:11-07:00,7/22/19,TWBA,Tabr,10,10,,Tabr,,,,21.6,0.22,14.9,0.62,1.57,22.53,20.11,0.15,0.08,0.1,636.36,3_10,S3_Summer,8.59,4.2,0.8,16
3-10_SM42-20190722_205304.wav,1,,0,2019-07-22T20:53:04-07:00,7/22/19,TWBA,Pahe,8,8,,Pahe,,,,45.12,0.29,4.79,0.33,5.83,54.39,44.69,4.96,0.79,1.87,171.41,3_10,S3_Summer,2.96,4.2,0.8,16
3-10_SM42-20190722_210031.wav,,,0,2019-07-22T21:00:31-07:00,7/22/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,3_10,S3_Summer,0,0,0.8,0
3-10_SM42-20190722_210124.wav,,,0,2019-07-22T21:01:24-07:00,7/22/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,3_10,S3_Summer,0,0,0.8,0
3-10_SM42-20190722_210459.wav,,,0,2019-07-22T21:04:59-07:00,7/22/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,3_10,S3_Summer,0,0,0.8,0
3-10_SM42-20190722_214118.wav,,,0,2019-07-22T21:41:18-07:00,7/22/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,3_10,S3_Summer,0,0,0.8,0
3-10_SM42-20190722_214847.wav,,,0,2019-07-22T21:48:47-07:00,7/22/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,3_10,S3_Summer,0,0,0.8,0
3-10_SM42-20190722_222327.wav,1,,0,2019-07-22T22:23:27-07:00,7/22/19,TWBA,Pahe,4,5,,Pahe,Chme,,,44.59,0.48,4.18,0.49,12.84,73.64,42.3,18.58,2.19,7.48,77.88,3_10,S3_Summer,2.82,4.2,0.8,16
3-10_SM42-20190722_223137.wav,1,,0,2019-07-22T22:31:37-07:00,7/22/19,TWBA,Pahe,13,13,,Pahe,,,,44.33,0.24,4.58,0.19,6.6,54.64,43.89,5.21,0.98,2.2,151.42,3_10,S3_Summer,5.71,4.2,0.8,16
3-10_SM42-20190722_223313.wav,,1,0,2019-07-22T22:33:13-07:00,7/22/19,TWBA,Laxa,7,9,,Laxa,Tabr,,,31.36,1.22,11.6,2.13,3.49,35.58,30.7,0.89,0.41,0.59,286.25,3_10,S3_Summer,7.71,4.2,0.8,16
