Filename,HiF,LoF,Call Quality,Timestamp,MonitoringNight,Species Manual ID,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),Version,AccpQuality,Max#CallsConsidered
5-07_SM42-20190729_193334.wav,,,0,2019-07-29T19:33:34-07:00,7/29/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,5_07,S3_Summer,0,0,0.8,0
5-07_SM42-20190729_193354.wav,,,0,2019-07-29T19:33:54-07:00,7/29/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,5_07,S3_Summer,0,0,0.8,0
5-07_SM42-20190729_193402.wav,,,0,2019-07-29T19:34:02-07:00,7/29/19,NOBA,,,,,,,,,,,,,18.26,15.19,15.14,,,,54.78,5_07,S3_Summer,2.05,4.2,0.8,16
5-07_SM42-20190729_230117.wav,,,0,2019-07-29T23:01:17-07:00,7/29/19,NOID,,1,1,Tabr/,Tabr,,,,25.54,,11.74,,1.87,31.74,22.61,1.24,0.52,0.67,535.78,5_07,S3_Summer,3.27,4.2,0.8,16
5-07_SM42-20190729_231659.wav,,1,0,2019-07-29T23:16:59-07:00,7/29/19,TWBA,Tabr,10,10,,Tabr,,,,23.06,0.47,14.63,1.56,2.69,24.45,22.86,0.2,0.07,0.12,372.38,5_07,S3_Summer,7.17,4.2,0.8,16
5-07_SM42-20190729_232652.wav,,1,0,2019-07-29T23:26:52-07:00,7/29/19,NOID,Tabr,2,2,,Tabr,,,,22.57,0.05,13.66,1.73,2.3,23.23,22.33,0.15,0.04,0.08,434.17,5_07,S3_Summer,2.73,4.2,0.8,16
5-07_SM42-20190729_234041.wav,,1,0,2019-07-29T23:40:41-07:00,7/29/19,TWBA,Tabr,16,16,,Tabr,,,,23.7,0.85,11.49,0.77,3.3,26.26,22.29,0.57,0.27,0.35,302.91,5_07,S3_Summer,13.02,4.2,0.8,16
5-07_SM42-20190730_000929.wav,,,0,2019-07-30T00:09:29-07:00,7/29/19,NOID,,1,1,Tabr,Tabr,,,,23.36,,14.01,,2.32,24.08,23.08,0.18,0.01,0.04,430.99,5_07,S3_Summer,2.45,4.2,0.8,16
5-07_SM42-20190730_001929.wav,,1,0,2019-07-30T00:19:29-07:00,7/29/19,NOID,Tabr,2,2,,Tabr,,,,21.77,0.04,15.46,1.01,1.91,22.08,21.26,0.06,0.02,0.03,524.5,5_07,S3_Summer,6.01,4.2,0.8,16
5-07_SM42-20190730_004028.wav,,1,1,2019-07-30T00:40:28-07:00,7/29/19,TABR,Tabr,16,16,,Tabr,,,,24.26,0.84,11.71,1.61,2.61,25.98,23.5,0.24,0.27,0.21,383.7,5_07,S3_Summer,12.08,4.2,0.8,16
5-07_SM42-20190730_013301.wav,,1,2,2019-07-30T01:33:01-07:00,7/29/19,TABR,Tabr,14,14,,Tabr,,,,24.18,1.01,14.77,1.87,2.93,25.48,23.79,0.14,0.19,0.13,340.86,5_07,S3_Summer,7.13,4.2,0.8,16
5-07_SM42-20190730_020613.wav,,1,0,2019-07-30T02:06:13-07:00,7/29/19,NOID,Tabr,4,4,,Tabr,,,,21.91,0.61,11.69,0.43,2.25,23.33,21.22,0.34,0.15,0.19,444.49,5_07,S3_Summer,5.7,4.2,0.8,16
5-07_SM42-20190730_035105.wav,,,0,2019-07-30T03:51:05-07:00,7/29/19,NOID,,1,1,Tabr/,Tabr,,,,22.35,,16.55,,1.52,23.49,21.83,0.15,0.02,0.06,656.89,5_07,S3_Summer,3.19,4.2,0.8,16
5-07_SM42-20190730_201812.wav,,1,1,2019-07-30T20:18:12-07:00,7/30/19,TABR,Tabr,13,13,,Tabr,,,,23.22,0.77,11.39,1.5,3.53,26.29,22.69,0.55,0.27,0.36,283.39,5_07,S3_Summer,8.29,4.2,0.8,16
5-07_SM42-20190730_202155.wav,,1,0,2019-07-30T20:21:55-07:00,7/30/19,TWBA,Tabr,5,5,,Tabr,,,,24.01,0.69,12.25,0.92,4.67,25.18,23.64,0.21,0.13,0.15,213.98,5_07,S3_Summer,2.75,4.2,0.8,16
5-07_SM42-20190730_202201.wav,,1,0,2019-07-30T20:22:01-07:00,7/30/19,TWBA,Tabr,9,12,,Tabr,Laci,,,24.12,1.69,11.6,3.19,4.64,27.44,22.97,0.67,0.38,0.28,215.3,5_07,S3_Summer,10.58,4.2,0.8,16
5-07_SM42-20190730_202319.wav,,1,0,2019-07-30T20:23:19-07:00,7/30/19,TWBA,Tabr,5,5,,Tabr,,,,20.02,0.37,16.05,2.67,2.44,20.54,19.5,0.14,0.11,0.04,409.74,5_07,S3_Summer,12.04,4.2,0.8,16
5-07_SM42-20190730_202410.wav,,1,0,2019-07-30T20:24:10-07:00,7/30/19,TWBA,Tabr,4,4,,Tabr,,,,20.14,0.34,17.74,2.23,3.54,20.83,19.84,0.06,0.06,0.04,282.27,5_07,S3_Summer,3.96,4.2,0.8,16
5-07_SM42-20190730_202447.wav,,1,0,2019-07-30T20:24:47-07:00,7/30/19,NOID,Tabr,3,3,,Tabr,,,,24.2,0.6,12.26,2.42,3.3,25.64,23.24,0.26,0.15,0.18,302.7,5_07,S3_Summer,2.68,4.2,0.8,16
5-07_SM42-20190730_202514.wav,,1,0,2019-07-30T20:25:14-07:00,7/30/19,TWBA,Tabr,13,13,,Tabr,,,,23.19,0.62,13.87,1.18,2.37,25.06,22.18,0.3,0.18,0.21,422.56,5_07,S3_Summer,8.48,4.2,0.8,16
5-07_SM42-20190730_202524.wav,,1,0,2019-07-30T20:25:24-07:00,7/30/19,TWBA,Tabr,15,15,,Tabr,,,,24.21,0.67,14.35,1.29,4.19,27.36,23.39,0.58,0.22,0.29,238.6,5_07,S3_Summer,11.63,4.2,0.8,16
5-07_SM42-20190730_202538.wav,,1,0,2019-07-30T20:25:38-07:00,7/30/19,TWBA,Tabr,10,10,,Tabr,,,,24.15,0.49,13.71,1.7,3.2,24.93,23.35,0.1,0.09,0.09,312.11,5_07,S3_Summer,4.29,4.2,0.8,16
