Filename,HiF,LoF,Call Quality,Timestamp,MonitoringNight,Species Manual ID,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),Version,AccpQuality,Max#CallsConsidered
3-03_SM42-20190729_200133.wav,1,,0,2019-07-29T20:01:33-07:00,7/29/19,NOID,Pahe,4,4,,Pahe,,,,44.27,0.33,6.05,0.34,1.9,47.21,43.89,1.47,0.4,0.66,526.05,3_03,S3_Summer,5.41,4.2,0.8,16
3-03_SM42-20190729_200303.wav,1,,0,2019-07-29T20:03:03-07:00,7/29/19,TWBA,Pahe,8,8,,Pahe,,,,45.13,0.59,4.9,0.23,5.96,48.46,44.79,1.7,0.51,1.02,167.66,3_03,S3_Summer,5.04,4.2,0.8,16
3-03_SM42-20190729_200525.wav,1,,0,2019-07-29T20:05:25-07:00,7/29/19,NOID,,2,2,Pahe,Pahe,,,,44.08,0.11,4.51,0.32,2.07,49.28,43.95,4.01,1.07,1.53,483.38,3_03,S3_Summer,3.85,4.2,0.8,16
3-03_SM42-20190729_200540.wav,1,,0,2019-07-29T20:05:40-07:00,7/29/19,NOID,,1,1,Pahe/,Pahe,,,,42.49,0.54,5.48,0.07,3.92,46.92,41.68,1.72,0.75,1.11,255.24,3_03,S3_Summer,6.19,4.2,0.8,16
3-03_SM42-20190729_200600.wav,1,1,0,2019-07-29T20:06:00-07:00,7/29/19,NOID,,,,,,,,,40.76,0.22,5.55,0.41,4.14,43.84,40.45,1.55,0.48,0.81,241.53,3_03,S3_Summer,7.09,4.2,0.8,16
3-03_SM42-20190729_201138.wav,1,1,0,2019-07-29T20:11:38-07:00,7/29/19,NOID,,,,,,,,,41.4,0.59,5.87,0.36,3.51,46.3,41.35,1.12,1,0.87,284.87,3_03,S3_Summer,7.5,4.2,0.8,16
3-03_SM42-20190729_203610.wav,1,,0,2019-07-29T20:36:10-07:00,7/29/19,TWBA,Myyu,6,9,,Myyu,Myca,,,49.96,1.05,5.65,0.88,11.26,79.34,46.12,14.6,2.96,4.94,88.77,3_03,S3_Summer,5.38,4.2,0.8,16
3-03_SM42-20190729_213121.wav,1,,0,2019-07-29T21:31:21-07:00,7/29/19,NOID,Myca,5,5,,Myca,,,,46.41,0.39,7.21,0.36,10.12,70.09,44.31,10.25,1.65,2.7,98.79,3_03,S3_Summer,8.14,4.2,0.8,16
3-03_SM42-20190729_222043.wav,,1,0,2019-07-29T22:20:43-07:00,7/29/19,NOID,Tabr,4,4,,Tabr,,,,21.43,0.49,16.51,0.35,2.32,22.33,21.26,0.06,0.08,0.06,430.52,3_03,S3_Summer,2.01,4.2,0.8,16
3-03_SM42-20190729_222047.wav,,1,0,2019-07-29T22:20:47-07:00,7/29/19,NOID,Tabr,4,4,,Tabr,,,,21.31,0.15,14.67,1.04,1.34,21.77,20.85,0.13,0.01,0.04,746.43,3_03,S3_Summer,3.56,4.2,0.8,16
3-03_SM42-20190729_222248.wav,,,0,2019-07-29T22:22:48-07:00,7/29/19,NOID,,,,,,,,,,,,,Inf,,,,,,,3_03,S3_Summer,0,0,0.8,0
3-03_SM42-20190729_222739.wav,1,,0,2019-07-29T22:27:39-07:00,7/29/19,TWBA,Pahe,7,7,,Pahe,,,,42.69,0.62,5.34,0.18,4.16,46.47,42.61,1.16,0.62,0.78,240.49,3_03,S3_Summer,4.65,4.2,0.8,16
3-03_SM42-20190729_223240.wav,,1,0,2019-07-29T22:32:40-07:00,7/29/19,TWBA,Tabr,11,11,,Tabr,,,,23.9,0.32,14.3,1.12,3.62,25,23.33,0.14,0.07,0.12,276.23,3_03,S3_Summer,4.76,4.2,0.8,16
3-03_SM42-20190729_223514.wav,,1,0,2019-07-29T22:35:14-07:00,7/29/19,NOID,Tabr,3,3,,Tabr,,,,24.51,0.88,11.78,3.11,2.2,27.08,23.48,0.53,0.27,0.4,455.32,3_03,S3_Summer,3.38,4.2,0.8,16
3-03_SM42-20190729_224151.wav,,,0,2019-07-29T22:41:51-07:00,7/29/19,NOID,,1,1,Pahe,Pahe,,,,43.75,,5.8,,4.61,48.22,43.75,1.25,0.65,0.75,217.09,3_03,S3_Summer,3.65,4.2,0.8,16
3-03_SM42-20190729_224930.wav,,1,0,2019-07-29T22:49:30-07:00,7/29/19,TWBA,Tabr,5,5,,Tabr,,,,24.9,0.16,12.65,1.52,3.33,25.9,24.89,0.17,0.06,0.04,300.3,3_03,S3_Summer,2.27,4.2,0.8,16
3-03_SM42-20190729_230139.wav,,1,0,2019-07-29T23:01:39-07:00,7/29/19,TWBA,Tabr,15,15,,Tabr,,,,23.92,0.48,11.94,0.86,1.51,26.19,22.79,0.48,0.23,0.31,663.82,3_03,S3_Summer,14.38,4.2,0.8,16
3-03_SM42-20190729_230432.wav,,1,0,2019-07-29T23:04:32-07:00,7/29/19,APPH,Tabr,7,7,,Tabr,,,,23.94,1.91,11.15,3.57,3.34,33.29,22.4,2.34,1.06,1.4,299.5,3_03,S3_Summer,10.86,4.2,0.8,16
3-03_SM42-20190729_230600.wav,,1,0,2019-07-29T23:06:00-07:00,7/29/19,NOID,Tabr,3,3,,Tabr,,,,22.66,0.59,13.19,1.69,2.28,23.18,22.38,0.09,0.06,0.06,438.12,3_03,S3_Summer,2.01,4.2,0.8,16
3-03_SM42-20190729_230609.wav,,1,0,2019-07-29T23:06:09-07:00,7/29/19,TWBA,Tabr,9,9,,Tabr,,,,22.87,0.48,14.05,1.47,2.46,23.44,22.33,0.12,0.06,0.06,407.05,3_03,S3_Summer,4.82,4.2,0.8,16
3-03_SM42-20190729_230616.wav,,1,0,2019-07-29T23:06:16-07:00,7/29/19,TWBA,Tabr,11,11,,Tabr,,,,23.02,0.43,14.63,0.7,2.32,23.6,22.52,0.16,0.03,0.05,431.37,3_03,S3_Summer,5.71,4.2,0.8,16
3-03_SM42-20190729_231328.wav,1,,0,2019-07-29T23:13:28-07:00,7/29/19,TWBA,Pahe,15,15,,Pahe,,,,44.38,1.26,5.54,0.52,5.56,51.87,43.92,3.32,0.68,1.21,179.74,3_03,S3_Summer,8.81,4.2,0.8,16
